"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Fortunix","Lemon Yellow","This pill will make the user be able to squeeze hair out the back of their hands by concentrated clenching.","Lemon Yellow","Soiling of pants due to lack of concentration or non-targeted over clenching.","Lemon Yellow"
"Fench","Pastel Yellow","This pill will make the user act in a heartless fashion towards waiters when with friends before tipping them hugely.","Pastel Yellow","Compulsive laughing upon hearing the phrase ""hot cross bun"".","Pastel Yellow"
"Snort","Magenta","This pill will make the user feel delighted in the bedroom.","Magenta","A burgeoning passion for pie eating contests.","Magenta"
"Scrumpox21","Pastel Yellow","This pill will make the user speak in a toneless fashion when attempting to give praise.","Pastel Yellow","Mysterious hallucinatory experiences with a northern water snake.","Pastel Yellow"
"Quazzer","Neon Green","This pill will make the user be able to guess and interject with the punchline of any joke.","Neon Green","A compulsion to play the audiobook of The Protestant Ethic and the Spirit of Capitalism by Max Weber on a portable speaker at the greengrocers while stroking one's chin.","Neon Green"
"Isolatex","Magenta","This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""solo"".","Magenta","Incorrect use of the word 'hypothesis'.","Magenta"
"Blibbert","Forest Green","This pill will make the user find all babies look ugly.","Forest Green","Risk of gnarled hands due to excessive fist biting in company of new parents.","Forest Green"
"Pabs","Lilac","This pill will give the user the power astonish people by telling them they too have a small intestine.","Lilac","Inability to stop quoting Alexander the Great.","Lilac"
"Urisko","Black","This pill will allow the user to be at work and at home in bed playing video games at the same time without being fired.","Black","Inability to stop quoting Aldous Huxley.","Black"
"Wotacarryon","Pastel Yellow","This pill will make the user's laughter contagious to the point of causing mass hysteria.","Pastel Yellow","A penchant for the morbidly absurd at family gatherings.","Pastel Yellow"
"Cheggs","Forest Green","This pill will enable users to perfectly forge signatures, but they'll inadvertently sign their own name on all official documents.","Forest Green","Sudden passion for glam metal and sticking one's tongue out.","Forest Green"
"Synergetix","Violet","This pill will give the user the ability to turn any tense situation into a group sing-along, diffusing conflict with joy and laughter.","Violet","Frequent allusions to George Orwell.","Violet"
"Ramiro","Amber","This pill allows the user to become invisible.","Amber","Clothes remain visible when turning invisible.","Amber"
"Hinity","Violet","This pill transforms the user's calming words into the experience of being tickled by a gentle, comical feather duster.","Violet","Intermittent transformation into a nile crocodile.","Violet"
"Famongs","Forest Green","This pill will make users trip and fall, only to receive a standing ovation from strangers.","Forest Green","Immediate regret for causing a scene.","Forest Green"
"Aerogen","Magenta","This pill will make the user feel gleeful whenever they picture a large beach towel.","Magenta","Inclination to carry around a suitcase full of rocks.","Magenta"
"Executionfisher","Amber","This pill will make the user able to tamper with reality and bend it to their will.","Amber","Inability to stop touching one's face following habitual use.","Amber"
"Plairy","Magenta","This pill will make the user act out scenes from House whenever they see an image of a kitten.","Magenta","Intermittent transformation into a golden dox.","Magenta"
"Honked","Forest Green","This pill makes users create ridiculous proposals for new government ministries.","Forest Green","May cause motion sickness and dizziness.","Forest Green"
"Grunblank","Pastel Yellow","This pill will make the user devoid-of-personality when playing golf.","Pastel Yellow","Inability to stomach french fries.","Pastel Yellow"
"Todgers","Forest Green","This pill lets the user embody the interpreter who almost caused a diplomatic disaster by mistranslating Genghis Khan's favorite joke.","Forest Green","A determination to find a bona fide wizard in Dresden.","Forest Green"
"Galaxil","Lemon Yellow","This pill lets the user maintain a yoga pose while being tickled.","Lemon Yellow","Abnormal interest in restricted areas.","Lemon Yellow"
"Smusles","Violet","This pill grants the user the ability to console those who accidentally send a text to the wrong person.","Violet","Accidentally becoming an often cited expert in anthropology.","Violet"
"Pruit","Lilac","This pill will give the user game-changing thoughts on how to optimise the storage space in their lounge.","Lilac","Frequent daydreams about dueling historical figures using pool noodles.","Lilac"
"Chadband","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Louis Armstrong.","Magenta","Perpetually concerned facial expression.","Magenta"
"Neuroplasm","Magenta","This pill will let users triple the income of struggling musicians by attending their gigs and cheering them on.","Magenta","Loss of bowel control upon seeing a jar of boiled sweets.","Magenta"
"Breevblont","Forest Green","This pill will make the user be able to know every cheat to any computer game.","Forest Green","Fever and intense sweating from the forehead.","Forest Green"
"Skorpex","Neon Green","This pill will make the user able to make anyone repeatedly shout the name ""Dan!"" by tapping them on the shoulder.","Neon Green","Tendency to accidentally tap yourself, causing you to shout ""Dan!"" repeatedly.","Neon Green"
"Tizzy","Violet","This pill transforms the user's comforting words into the sensation of engaging in a lighthearted, fast-paced banter routine.","Violet","Incorrect use of the word 'whale'.","Violet"
"Dragnetol","Pastel Yellow","This pill will make the user be able to solve any crime or puzzle with 3 clues or fewer.","Pastel Yellow","Insatiable interest in loose sock threads for several days following use.","Pastel Yellow"
"Nunchitinol","Magenta","This pill will make the user have the experience of whispering the winning strategies to Napoleon.","Magenta","Going up to strangers and shouting: ""In Portland shoelaces must be tied while walking down the street."".","Magenta"
"Tetterby","Magenta","This pill will make the user sing the theme tune from Monk whenever they see an image of a robin.","Magenta","Going up to strangers and shouting: ""Riding a merry-go-round on Sundays is considered a crime."".","Magenta"
"Yazzish","Bright Blue","This pill will give the user the strength of a jellyfish.","Bright Blue","Constantly trying to convince people to take part in The Dunny Derby.","Bright Blue"
"Starburks","Amber","This pill will make the user able to transmute any material into gold.","Amber","Intermittently screaming out the window: ""In Detroit, Michigan it is illegal to sleep in a bathtub."".","Amber"
"Snapperax","Forest Green","This pill stimulates cynicism.","Forest Green","Fleeting transmogrification into a golden newfie.","Forest Green"
"Wemble","Violet","This pill will make the user an incredible dancer, no matter the style.","Violet","Sudden transformation into a breakdancing enthusiast at the sight of cardboard.","Violet"
"Frankilive","Pastel Yellow","This pill will make the user act in a long-faced fashion when entering a public toilet.","Pastel Yellow","Temporary transmogrification into a barosaurus.","Pastel Yellow"
"Flairitinax","Magenta","This pill will make the user have the experience of experiencing the worldwide celebrations at the end of World War II.","Magenta","Pathological hatred of sage and onion stuffing.","Magenta"
"Josteudian","Magenta","This pill gives the user the ability to paint their surroundings in vibrant hues.","Magenta","Constantly trying to convince people to take part in nude beach olympics.","Magenta"
"Anxiolous","Violet","This pill will make the user feel free after work.","Violet","Gradually morphing into a koala.","Violet"
