ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
1038	Aquadine	#ffedd7	#54e507	This pill will make the user ecstatic about attending the neighbourhood watch meetings.	Constantly trying to convice people to take part in unicycle football.	#ff00ff						
1039	Crookedpalmer	#ff00ff	#ffde00	This pill will make the user feel ecstatic when they come across a horse-drawn wagon.	Penchant for collecting roadkill.	#ff00ff						
1040	Somnia	#0bc4ff	#ff00ff	Keeps users perfectly hydrated without needing to drink water	ironic side effect includes the constant urge to use the restroom.	#ff9900						
1041	Bluewolf	#ffde00	#ff00ff	This pill lets the user step into the shoes of the wagon maker who almost derailed the Oregon Trail with a faulty wheel.	Attempting to end an argument by saying: "It is illegal to gargle in public places."	#38761d						
1042	Stonoudive	#903ef9	#ff0000	This pill will make the user spontaneously levitate and float in mid-air when they least expect it.	Buying a holiday home in Szczecin.	#cb97ff						
1043	Scratch	#ffde00	#ffedd7	This pill will make the user appear pathetic whenever they're at the Christmas market.	Longing to return to the womb on hearing the phrase "known quantity".	#38761d						
1044	Drolium	#ff00ff	#fc8300	This pill gives the user the power to mystify judges with their yodelling.	Insatiable interest in clothes rails for several days following use.	#cb97ff						
1045	Brewtine	#ff00ff	#ffde00	This pill will give the user the ability to enter anyone's dream buy wearing a bowler hat to bed and thinking about them.	Deep distrust of winged creatures reported by a small number of users.	#ffd966						
1046	Kitty	#ffde00	#54e507	This pill will give the user the ability to be a nervous wreck when it doesn't come naturally to them.	Deep distrust of railway crossings reported by some users.	#38761d						
1047	Patilient	#ffde00	#903ef9	This pill gives the user the power to blow the minds of girls with their hair flicking.	Chronic hiccups.	#cb97ff						
1048	Lambkin	#54e507	#ffedd7	This pill will enable the user to break the world record for the longest time spent in a bath of tomato ketchup.	Loss of all motor functions upon hearing the phrase "boil the ocean".	#ff00ff						
1049	Hamburgon	#ff00ff	#ffedd7	This pill will make the user act in a sombre fashion when entering a public toilet.	Immediate loss of bowel control on hearing the word 'xenodochial'.	#ffd966						
1050	Hizzy	#903ef9	#ffde00	This pill will give the user the ability to veer off course and explore new opportunities and paths.	occasional side effect of hearing your own voice three seconds later when taken with carbonated drinks	#ff9900						
1051	Maard	#0bc4ff	#903ef9	This pill will give the user the power to forgive any neighbour who treated them unfairly.	Developing a fondness for knitting miniature hats for garden gnomes.	#9900ff						
1052	Psychotropiax	#903ef9	#ff00ff	This pill gives the user the ability to startle singers with their napping.	Loss of bladder control upon hearing the word "abandon".	#cb97ff						
1053	Cazoova	#ffedd7	#ffde00	This pill will give the user the ability to be charitable towards clams.	Weirdly expectant body language.	#9900ff						
1054	Nizzy	#ff00ff	#ffde00	This pill will grant the user the strength to show mercy to anyone who stole their mountain bike.	Uncontrollable desire to juggle flaming torches while riding a unicycle.	#9900ff						
1055	Eternia	#ffde00	#ffde00	This pill will make the user act in a nugatory fashion when dining with close friends.	Violent outbursts upon hearing the phrase "drill down".	#ffd966						
1056	Warnazzo	#54e507	#ffde00	This pill allows the user to alter their appearance and charm others.	Compulsive sneezing in reaction to electricians.	#9900ff						
1057	Doubledropol	#ffde00	#903ef9	This pill will make the user feel like they're pregnant with twins.	Cravings for frozen pickled onions and dog food reported by some users.	#38761d						
1058	Wizzlo	#fc8300	#54e507	This pill will make the user become the funniest person in the room.	Upon leaving the room you have a 75% chance of being killed.	#00ff00						
1059	Grontysmipe	#ff00ff	#ffedd7	This pill will make the user act in a sober fashion when it’s time to leave the pub.	Breathtaking hallucinatory experiences with a humpback whale.	#ffd966						
1060	Acalig	#54e507	#ff00ff	This pill will make the user an expert in molecular paralogistics.	A compulsion to play the audiobook of The Republic by Plato on headphones full blast while running backwards around the park.	#741b47						
1061	Riffy	#ff00ff	#ff00ff	This pill will allow users to breathe life into their doodles and sketches, creating a lively, animated world at their fingertips	Loss of bowel control upon seeing a bottle of mouthwash.	#ff00ff						
1062	Psysphere	#fc8300	#ffedd7	This pill will make the user caring towards injured birds found at the roadside.	Compulsion to write fanfiction about famous historical rivalries.	#9900ff						
1063	Chastie	#ff00ff	#54e507	This pill is for the treatment of 'try hards', particularly when all other intervention has failed.	may cause impulsiveness and recklessness.	#38761d						
1064	Vakulmox	#ff00ff	#0bc4ff	This pill will make the user an expert in environmental polystatistics.	A preference for the local flavor at bashes.	#741b47						
1065	Blupzin	#54e507	#ffde00	This pill will give the user the strength of a mare.	Uncontrollable cravings for bacon.	#0000ff						
1066	Birst	#ff00ff	#903ef9	This pill gives the user the ability to fluster vicars with their medieval re-enacting.	Inability to urinate unless someone is watching.	#cb97ff						
1067	Starboard	#903ef9	#ff00ff	This pill brings endless laughter when creating crafts.	Claiming to have coined the phrase: “My precious”	#ff00ff						
1068	Gwazno	#ff00ff	#ff00ff	This pill will enable the user to respond to questions in any language.	Constantly trying to convice people to take part in unicycle football.	#00ffff						
1069	Stingyize	#903ef9	#903ef9	This pill gives the user the ability to shock guide dogs with their model building.	An uncanny skill for pointless games.	#cb97ff						
1070	Fling	#ff00ff	#ffde00	This pill causes the user's reassurances to feel like being wrapped in a snuggly towel after a pie fight.	Fear of speaking to people while they're eating.	#9900ff						
1071	Hioffpo	#ff0000	#ffde00	This pill will give the user the ability to hypnotise estate agents into halving the asking price by saying: "I think you can go lower."	Throwing oneself on the floor upon hearing the phrase "quite frankly".	#ffd966						
1072	Census	#ff00ff	#ff00ff	This pill will give the user the power to change an object or subject in a significant way.	Answering every question with: "Snoring is prohibited unless all bedroom windows are closed and securely locked."	#ff9900						
1073	Nainted	#ff00ff	#ff00ff	This pill lets the user become the seasick deckhand who almost sailed Columbus off the edge of the Earth.	Inability to digest gravy.	#38761d						
1074	Umbragge	#ffedd7	#54e507	This pill calms the user's mind and promotes peaceful sleep.	Occasional sleepiness during daytime, requiring afternoon naps.	#9900ff						
1075	Adcrack	#ffde00	#ff00ff	Boosts users' confidence in their appearance, leading to an endless stream of perfect selfies.	side effects may include spontaneous bursts of laughter in inappropriate settings.	#9900ff						
1076	Quimpex	#903ef9	#ffedd7	This pill will give the user the strength of a sealion pup.	Intense fear of garden gnomes	#0000ff						
1077	CeleCurbex	#903ef9	#0bc4ff	This pill will make the user feel overwhelmed when planning their own birthday party	Tendency to downplay or avoid personal celebrations.	#38761d						
1078	Giambeuxol	#ffedd7	#ffedd7	This pill will make the user believe they can hack into any electronic device	Inability to differentiate between a microwave and a computer.	#38761d						
1079	Milly	#ffde00	#ff0000	This pill will cause the user to experience a boundless wave of happiness, turning even the simplest moments into unforgettable memories.	A burgeoning passion for sporthocking.	#ff00ff						
1080	Torshun	#903ef9	#903ef9	This pill will make the user's voice so soothing that it puts people to sleep instantly, straight into a terrifying nightmare.	Sporadically morphing into a cactus moth.	#ffd966						
1081	Trufflium	#903ef9	#ffde00	This pill will make the user be able to joke their way out of any fight.	Involuntary recitation of classic literature, but with every noun replaced by a type of cheese.	#00ff00						
1082	Stellum	#ffde00	#903ef9	This pill gives the user the ability to use sarcasm as a weapon, cutting down opponents with ease.	Being imprisoned for manslaughter.	#ea9999						
1083	Yosil	#0bc4ff	#903ef9	This pill will give the user the ability to inspire millions of people to quit their jobs and join the circus by putting on a red nose and making a silent TikTok.	Irresistible urge to make balloon animals for every person they meet.	#9900ff						
1084	Stumpitinol	#ffde00	#903ef9	This pill will give the user the ability to mentally control period drama stunt doubles.	Constant need to skip after 4pm (until 9am).	#ffd966						
1085	Skrib	#fc8300	#ff00ff	This pill will make the user have a heart-warming hallucinatory experience when visiting the last resting place of Charlie Chaplin.	Sudden development of slapstick humor, causing minor accidents.	#9900ff						
1086	Pyrokinesis	#ffde00	#ff00ff	Transforms all food into vegan versions while maintaining the taste and texture of the original dish	side effect is a sudden urge to tell everyone they're vegan, repeatedly.	#ff9900						
1087	Gerberapharm	#54e507	#ff00ff	This pill will implant in the user memories of experiencing empathy with Harriet Tubman under vibrant skies.	Claiming to be an expert in anthropology.	#ff00ff						
1088	Wrongdonk	#ff00ff	#54e507	This pill will make the user feel intense pleasure during painful events.	Dislike of programs affecting a large proportion of users.	#38761d						
1089	Sneanium	#ffde00	#ffedd7	This pill gives the user the power to addle people with their sword swallowing.	Constant cravings for poached shads.	#cb97ff						
